file,document_id,document_name,attach_type,attach_size,stage,status,wall_time_sec,cpu_mean_pct,cpu_peak_pct,rss_mean,rss_peak,samples,started_at,attach_name
intel-assist-index-errors-loc-0-14.json,226416,Мегаполис_MDM работы,xlsx,16871450.0,TOKENIZING,SUB_DONE,482.94603904,3.5,3.5,55754752.0,55754752.0,1.0,2026-07-31 20:16:42.501377+00:00,etl-16MiB.xlsx
intel-assist-index-errors-loc-0-15.json,226416,Мегаполис_MDM работы,xlsx,1057255.0,EXTRACTING,SUB_DONE,0.296496896,0.0,0.0,0.0,0.0,0.0,2026-07-31 21:16:24.206637+00:00,etl-1MiB.xlsx
intel-assist-index-errors-loc-0-15.json,226416,Мегаполис_MDM работы,xlsx,1057255.0,INDEXING,SUB_DONE,58.533552128,0.30845410628019215,4.5,81371808.77294686,81575936.0,414.0,2026-07-31 21:16:24.206637+00:00,etl-1MiB.xlsx
intel-assist-index-errors-loc-0-15.json,226416,Мегаполис_MDM работы,xlsx,1057255.0,TOKENIZING,SUB_DONE,3.983192064,0.2,0.2,79937536.0,79937536.0,1.0,2026-07-31 21:16:24.206637+00:00,etl-1MiB.xlsx
intel-assist-index-errors-loc-0-15.json,226416,Мегаполис_MDM работы,xlsx,1057255.0,CONVERTING,SUB_DONE,0.113159936,0.0,0.0,79937536.0,79937536.0,1.0,2026-07-31 21:16:24.206637+00:00,etl-1MiB.xlsx
intel-assist-index-errors-loc-0-15.json,226416,Мегаполис_MDM работы,xlsx,1057255.0,VECTORIZING,SUB_DONE,48.125259008,0.3530201342281882,3.2,80366049.07382551,80592896.0,149.0,2026-07-31 21:16:24.206637+00:00,etl-1MiB.xlsx
intel-assist-index-errors-loc-0-16.json,226416,Мегаполис_MDM работы,xlsx,33742027.0,EXTRACTING,SUB_DONE,2.303891968,0.0,0.0,0.0,0.0,0.0,2026-07-31 21:25:23.920391+00:00,etl-32MiB.xlsx
intel-assist-index-errors-loc-0-16.json,226416,Мегаполис_MDM работы,xlsx,33742027.0,TOKENIZING,SUB_DONE,105.493400832,0.19999999999999998,0.5,97484800.0,97484800.0,4.0,2026-07-31 21:25:23.920391+00:00,etl-32MiB.xlsx
intel-assist-index-errors-loc-0-16.json,226416,Мегаполис_MDM работы,xlsx,33742027.0,VECTORIZING,SUB_DONE,1891.949427968,0.29849564528899697,5.3,54708173.732383214,55984128.0,3789.0,2026-07-31 21:25:23.920391+00:00,etl-32MiB.xlsx
intel-assist-index-errors-loc-0-16.json,226416,Мегаполис_MDM работы,xlsx,33742027.0,CONVERTING,SUB_DONE,0.764824064,0.125,0.2,97419264.0,97419264.0,4.0,2026-07-31 21:25:23.920391+00:00,etl-32MiB.xlsx
intel-assist-index-errors-loc-0-16.json,226416,Мегаполис_MDM работы,xlsx,33742027.0,INDEXING,SUB_DONE,1278.192980992,0.3157072273928383,6.4,60096852.74503045,60538880.0,8703.0,2026-07-31 21:25:23.920391+00:00,etl-32MiB.xlsx
intel-assist-index-errors-loc-0-2.json,226416,Мегаполис_MDM работы,docx,17667046.0,INDEXING,SUB_DONE,310.897158912,0.5410112359550572,6.1,53460761.88764045,54624256.0,2136.0,2026-07-29 12:25:52.100890+00:00,etl-16MiB.docx
